timestamp,zone_id,temperature,gas_level,vibration,pressure,noise_level,machine_status,risk_label
2026-06-21 00:08:14.664903,Chemical Storage,39.48,56.34,3.58,6.52,74.36,Running,Low
2026-06-21 00:13:14.664903,Assembly Point,34.84,14.37,2.15,3.04,61.74,Running,Low
2026-06-21 00:18:14.664903,Assembly Point,22.38,13.25,0.5,3.81,58.64,Running,Low
2026-06-21 00:23:14.664903,Chemical Storage,53.24,58.81,1.09,4.46,76.78,Running,Medium
2026-06-21 00:28:14.664903,Chemical Storage,34.0,,2.08,9.32,75.91,Running,Low
2026-06-21 00:33:14.664903,Zone-C,27.9,42.51,1.65,4.17,83.38,Running,Low
2026-06-21 00:38:14.664903,Chemical Storage,36.42,54.39,1.03,4.28,72.78,Running,High
2026-06-21 00:43:14.664903,Zone-A,27.18,80.82,3.04,4.52,82.28,Running,Critical
2026-06-21 00:48:14.664903,Zone-B,48.06,31.29,3.4,5.78,71.65,Warning,Low
2026-06-21 00:53:14.664903,Zone-A,30.02,54.75,5.13,5.13,85.02,Running,Medium
2026-06-21 00:58:14.664903,Furnace Area,50.81,46.46,5.46,7.56,69.66,Running,Medium
2026-06-21 01:03:14.664903,Assembly Point,29.5,21.1,0.5,3.28,67.5,Running,Low
2026-06-21 01:08:14.664903,Chemical Storage,32.96,51.98,3.9,5.33,72.29,Running,Low
2026-06-21 01:13:14.664903,Chemical Storage,41.84,49.58,2.41,4.61,65.76,Running,Low
2026-06-21 01:18:14.664903,Zone-B,33.03,32.18,3.79,4.38,72.6,Running,Low
2026-06-21 01:23:14.664903,Assembly Point,33.02,42.63,1.71,3.76,64.48,Running,Low
2026-06-21 01:28:14.664903,Zone-A,36.3,74.56,3.27,5.5,77.76,Running,High
2026-06-21 01:33:14.664903,Zone-A,39.76,54.49,2.41,6.6,68.19,Running,Low
2026-06-21 01:38:14.664903,Furnace Area,44.05,21.2,5.62,5.5,77.15,Running,Low
2026-06-21 01:43:14.664903,Zone-C,36.37,28.97,,4.72,79.75,Running,Low
2026-06-21 01:48:14.664903,Zone-C,35.14,55.69,2.07,5.68,83.82,Running,Low
2026-06-21 01:53:14.664903,Zone-B,26.4,41.26,3.36,5.05,77.43,Stopped,Low
2026-06-21 01:58:14.664903,Zone-B,34.47,26.43,5.24,8.15,66.66,Stopped,Medium
2026-06-21 02:03:14.664903,Assembly Point,34.94,33.9,0.52,4.46,67.89,Running,Low
2026-06-21 02:08:14.664903,Furnace Area,47.77,18.96,4.43,5.18,87.46,Running,Low
2026-06-21 02:13:14.664903,Chemical Storage,41.14,58.16,4.54,4.74,95.04,Running,Medium
2026-06-21 02:18:14.664903,Furnace Area,43.65,33.79,5.23,6.71,91.31,Running,Low
2026-06-21 02:23:14.664903,Zone-C,26.43,34.64,5.03,5.71,73.28,Running,Low
